IPA,USCore6_0,USCore6_1
http://hl7.org/fhir/uv/ipa/StructureDefinition/ipa-allergyintolerance,http://hl7.org/fhir/us/core/StructureDefinition/us-core-allergyintolerance,
,http://hl7.org/fhir/us/core/StructureDefinition/us-core-birthsex,
,http://hl7.org/fhir/us/core/StructureDefinition/us-core-careplan,
,http://hl7.org/fhir/us/core/StructureDefinition/us-core-careteam,
http://hl7.org/fhir/uv/ipa/StructureDefinition/ipa-problem-list-item,http://hl7.org/fhir/us/core/StructureDefinition/us-core-condition-problems-health-concerns,
http://hl7.org/fhir/uv/ipa/StructureDefinition/ipa-condition,http://hl7.org/fhir/us/core/StructureDefinition/us-core-condition-encounter-diagnosis,
,http://hl7.org/fhir/us/core/StructureDefinition/us-core-implantable-device,
,http://hl7.org/fhir/us/core/StructureDefinition/us-core-diagnosticreport-lab,http://hl7.org/fhir/us/core/StructureDefinition/us-core-diagnosticreport-note
http://hl7.org/fhir/uv/ipa/StructureDefinition/ipa-documentreference,http://hl7.org/fhir/us/core/StructureDefinition/us-core-documentreference,
,http://hl7.org/fhir/us/core/StructureDefinition/us-core-ethnicity,
,http://hl7.org/fhir/us/core/StructureDefinition/us-core-goal,
http://hl7.org/fhir/uv/ipa/StructureDefinition/ipa-immunization,http://hl7.org/fhir/us/core/StructureDefinition/us-core-immunization,
http://hl7.org/fhir/uv/ipa/StructureDefinition/ipa-medication,http://hl7.org/fhir/us/core/StructureDefinition/us-core-medication,
http://hl7.org/fhir/uv/ipa/StructureDefinition/ipa-medicationrequest,http://hl7.org/fhir/us/core/StructureDefinition/us-core-medicationrequest,
http://hl7.org/fhir/uv/ipa/StructureDefinition/ipa-medicationstatement,,
http://hl7.org/fhir/uv/ipa/StructureDefinition/ipa-observation,http://hl7.org/fhir/us/core/StructureDefinition/us-core-observation-clinical-result,http://hl7.org/fhir/us/core/StructureDefinition/us-core-observation-lab
http://hl7.org/fhir/uv/ipa/StructureDefinition/ipa-patient,http://hl7.org/fhir/us/core/StructureDefinition/us-core-patient,
,http://hl7.org/fhir/us/core/StructureDefinition/us-core-procedure,
,,
,http://hl7.org/fhir/us/core/StructureDefinition/us-core-race,
,,
,http://hl7.org/fhir/us/core/StructureDefinition/us-core-smokingstatus,
,http://hl7.org/fhir/us/core/StructureDefinition/us-core-vital-signs,
,http://hl7.org/fhir/us/core/StructureDefinition/us-core-genderIdentity,
,http://hl7.org/fhir/us/core/StructureDefinition/head-occipital-frontal-circumference-percentile,
,http://hl7.org/fhir/us/core/StructureDefinition/pediatric-bmi-for-age,
,http://hl7.org/fhir/us/core/StructureDefinition/pediatric-weight-for-height,
,http://hl7.org/fhir/us/core/StructureDefinition/us-core-blood-pressure,
,http://hl7.org/fhir/us/core/StructureDefinition/us-core-bmi,
,http://hl7.org/fhir/us/core/StructureDefinition/us-core-body-height,
,http://hl7.org/fhir/us/core/StructureDefinition/us-core-body-temperature,
,http://hl7.org/fhir/us/core/StructureDefinition/us-core-body-weight,
,http://hl7.org/fhir/us/core/StructureDefinition/us-core-encounter,
,http://hl7.org/fhir/us/core/StructureDefinition/us-core-head-circumference,
,http://hl7.org/fhir/us/core/StructureDefinition/us-core-heart-rate,
,http://hl7.org/fhir/us/core/StructureDefinition/us-core-location,
,http://hl7.org/fhir/us/core/StructureDefinition/us-core-medicationdispense,
,http://hl7.org/fhir/us/core/StructureDefinition/us-core-observation-occupation,
,http://hl7.org/fhir/us/core/StructureDefinition/us-core-observation-pregnancyintent,
,http://hl7.org/fhir/us/core/StructureDefinition/us-core-observation-pregnancystatus,
,http://hl7.org/fhir/us/core/StructureDefinition/us-core-observation-screening-assessment,
,http://hl7.org/fhir/us/core/StructureDefinition/us-core-observation-sexual-orientation,
,http://hl7.org/fhir/us/core/StructureDefinition/us-core-organization,
http://hl7.org/fhir/uv/ipa/StructureDefinition/ipa-practitioner,http://hl7.org/fhir/us/core/StructureDefinition/us-core-practitioner,
http://hl7.org/fhir/uv/ipa/StructureDefinition/ipa-practitionerrole,http://hl7.org/fhir/us/core/StructureDefinition/us-core-practitionerrole,
,http://hl7.org/fhir/us/core/StructureDefinition/us-core-provenance,
,http://hl7.org/fhir/us/core/StructureDefinition/us-core-pulse-oximetry,
,http://hl7.org/fhir/us/core/StructureDefinition/us-core-relatedperson,
,http://hl7.org/fhir/us/core/StructureDefinition/us-core-respiratory-rate,
,http://hl7.org/fhir/us/core/StructureDefinition/us-core-servicerequest,
,http://hl7.org/fhir/us/core/StructureDefinition/us-core-simple-observation,
,http://hl7.org/fhir/us/core/StructureDefinition/us-core-specimen,
,http://hl7.org/fhir/us/core/StructureDefinition/us-core-coverage,
